reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,patient_cohort,number_of_presentations,number_of_presentations_flag,median_time,p90_time,peer_group_avg_p90_time
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023-24,2023,All patients,21105.0,reported,2 hrs 50 mins,7 hrs 38 mins,7 hrs 26 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2024-25,2024,All patients,21344.0,reported,3 hrs 26 mins,8 hrs 33 mins,8 hrs 21 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011-12,2011,Not subsequently admitted patients,12479.0,reported,1 hrs 7 mins,3 hrs 27 mins,4 hrs 6 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012-13,2012,Not subsequently admitted patients,12405.0,reported,1 hrs 12 mins,3 hrs 36 mins,4 hrs 10 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013-14,2013,Not subsequently admitted patients,12516.0,reported,1 hrs 5 mins,3 hrs 8 mins,4 hrs 4 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014-15,2014,Not subsequently admitted patients,13117.0,reported,1 hrs 13 mins,3 hrs 24 mins,4 hrs 5 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015-16,2015,Not subsequently admitted patients,13141.0,reported,1 hrs 20 mins,3 hrs 47 mins,4 hrs 19 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016-17,2016,Not subsequently admitted patients,12716.0,reported,1 hrs 34 mins,4 hrs 17 mins,4 hrs 22 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017-18,2017,Not subsequently admitted patients,12427.0,reported,1 hrs 40 mins,4 hrs 25 mins,4 hrs 27 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018-19,2018,Not subsequently admitted patients,13163.0,reported,1 hrs 46 mins,4 hrs 35 mins,4 hrs 39 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019-20,2019,Not subsequently admitted patients,12746.0,reported,2 hrs 3 mins,5 hrs 1 mins,4 hrs 50 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020-21,2020,Not subsequently admitted patients,13911.0,reported,1 hrs 52 mins,4 hrs 50 mins,5 hrs 10 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021-22,2021,Not subsequently admitted patients,14309.0,reported,2 hrs 11 mins,5 hrs 27 mins,5 hrs 31 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022-23,2022,Not subsequently admitted patients,15580.0,reported,2 hrs 25 mins,6 hrs 23 mins,5 hrs 50 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023-24,2023,Not subsequently admitted patients,17485.0,reported,2 hrs 26 mins,6 hrs 17 mins,5 hrs 50 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2024-25,2024,Not subsequently admitted patients,17483.0,reported,2 hrs 59 mins,7 hrs 10 mins,6 hrs 30 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2011-12,2011,Subsequently admitted patients,3017.0,reported,2 hrs 55 mins,6 hrs 17 mins,9 hrs 13 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2012-13,2012,Subsequently admitted patients,2885.0,reported,2 hrs 58 mins,6 hrs 3 mins,8 hrs 40 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2013-14,2013,Subsequently admitted patients,2953.0,reported,2 hrs 59 mins,5 hrs 49 mins,8 hrs 43 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2014-15,2014,Subsequently admitted patients,3175.0,reported,3 hrs 23 mins,6 hrs 31 mins,8 hrs 49 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2015-16,2015,Subsequently admitted patients,3272.0,reported,3 hrs 33 mins,6 hrs 26 mins,8 hrs 9 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2016-17,2016,Subsequently admitted patients,3521.0,reported,3 hrs 43 mins,6 hrs 54 mins,8 hrs 25 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2017-18,2017,Subsequently admitted patients,3517.0,reported,3 hrs 49 mins,7 hrs 11 mins,8 hrs 28 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2018-19,2018,Subsequently admitted patients,3431.0,reported,3 hrs 55 mins,7 hrs 2 mins,8 hrs 30 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2019-20,2019,Subsequently admitted patients,3352.0,reported,4 hrs 25 mins,8 hrs 13 mins,9 hrs 7 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2020-21,2020,Subsequently admitted patients,3409.0,reported,4 hrs 31 mins,8 hrs 35 mins,10 hrs 14 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2021-22,2021,Subsequently admitted patients,3516.0,reported,4 hrs 42 mins,9 hrs 16 mins,12 hrs 23 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2022-23,2022,Subsequently admitted patients,3658.0,reported,5 hrs 24 mins,11 hrs 42 mins,14 hrs 24 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2023-24,2023,Subsequently admitted patients,3613.0,reported,5 hrs 35 mins,11 hrs 25 mins,14 hrs 46 mins
Armidale Hospital,Hospital,NSW,Medium regional hospitals,2024-25,2024,Subsequently admitted patients,3855.0,reported,6 hrs 6 mins,11 hrs 54 mins,18 hrs 34 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011-12,2011,All patients,24744.0,reported,3 hrs 33 mins,7 hrs 40 mins,7 hrs 33 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012-13,2012,All patients,25480.0,reported,3 hrs 15 mins,6 hrs 50 mins,7 hrs 3 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013-14,2013,All patients,25762.0,reported,3 hrs 8 mins,5 hrs 36 mins,6 hrs 31 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014-15,2014,All patients,25896.0,reported,3 hrs 0 mins,5 hrs 17 mins,6 hrs 30 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015-16,2015,All patients,26334.0,reported,2 hrs 54 mins,5 hrs 57 mins,6 hrs 21 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016-17,2016,All patients,26844.0,reported,2 hrs 50 mins,5 hrs 50 mins,6 hrs 34 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017-18,2017,All patients,28783.0,reported,2 hrs 54 mins,6 hrs 5 mins,6 hrs 52 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018-19,2018,All patients,29045.0,reported,3 hrs 5 mins,7 hrs 18 mins,7 hrs 4 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019-20,2019,All patients,28730.0,reported,2 hrs 50 mins,6 hrs 33 mins,7 hrs 2 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020-21,2020,All patients,29874.0,reported,2 hrs 30 mins,6 hrs 53 mins,7 hrs 9 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021-22,2021,All patients,31622.0,reported,2 hrs 44 mins,7 hrs 34 mins,8 hrs 17 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022-23,2022,All patients,32359.0,reported,2 hrs 57 mins,7 hrs 50 mins,9 hrs 52 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023-24,2023,All patients,34255.0,reported,3 hrs 3 mins,7 hrs 43 mins,10 hrs 26 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2024-25,2024,All patients,34623.0,reported,3 hrs 3 mins,7 hrs 18 mins,10 hrs 30 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011-12,2011,Not subsequently admitted patients,14218.0,reported,2 hrs 27 mins,4 hrs 28 mins,5 hrs 23 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012-13,2012,Not subsequently admitted patients,15128.0,reported,2 hrs 25 mins,3 hrs 59 mins,5 hrs 32 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013-14,2013,Not subsequently admitted patients,15214.0,reported,2 hrs 18 mins,3 hrs 45 mins,5 hrs 10 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014-15,2014,Not subsequently admitted patients,16008.0,reported,2 hrs 15 mins,3 hrs 41 mins,5 hrs 12 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015-16,2015,Not subsequently admitted patients,19960.0,reported,2 hrs 27 mins,4 hrs 38 mins,5 hrs 22 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016-17,2016,Not subsequently admitted patients,20311.0,reported,2 hrs 25 mins,4 hrs 26 mins,5 hrs 30 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017-18,2017,Not subsequently admitted patients,21828.0,reported,2 hrs 29 mins,4 hrs 37 mins,5 hrs 44 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018-19,2018,Not subsequently admitted patients,21682.0,reported,2 hrs 38 mins,5 hrs 23 mins,5 hrs 52 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019-20,2019,Not subsequently admitted patients,21499.0,reported,2 hrs 25 mins,4 hrs 51 mins,5 hrs 55 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020-21,2020,Not subsequently admitted patients,22771.0,reported,2 hrs 19 mins,5 hrs 0 mins,6 hrs 3 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021-22,2021,Not subsequently admitted patients,24743.0,reported,2 hrs 17 mins,5 hrs 19 mins,6 hrs 51 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022-23,2022,Not subsequently admitted patients,23232.0,reported,2 hrs 30 mins,5 hrs 6 mins,7 hrs 46 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023-24,2023,Not subsequently admitted patients,24689.0,reported,2 hrs 36 mins,5 hrs 29 mins,8 hrs 2 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2024-25,2024,Not subsequently admitted patients,25765.0,reported,2 hrs 39 mins,5 hrs 33 mins,7 hrs 55 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2011-12,2011,Subsequently admitted patients,10484.0,reported,5 hrs 26 mins,10 hrs 33 mins,13 hrs 3 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2012-13,2012,Subsequently admitted patients,10306.0,reported,4 hrs 7 mins,9 hrs 59 mins,11 hrs 53 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2013-14,2013,Subsequently admitted patients,10534.0,reported,3 hrs 48 mins,8 hrs 34 mins,10 hrs 47 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2014-15,2014,Subsequently admitted patients,9884.0,reported,3 hrs 49 mins,9 hrs 12 mins,10 hrs 16 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2015-16,2015,Subsequently admitted patients,6372.0,reported,3 hrs 52 mins,9 hrs 22 mins,8 hrs 45 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2016-17,2016,Subsequently admitted patients,6522.0,reported,3 hrs 50 mins,9 hrs 39 mins,9 hrs 14 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2017-18,2017,Subsequently admitted patients,6949.0,reported,3 hrs 51 mins,10 hrs 47 mins,9 hrs 41 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2018-19,2018,Subsequently admitted patients,7361.0,reported,3 hrs 54 mins,13 hrs 16 mins,10 hrs 2 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2019-20,2019,Subsequently admitted patients,7227.0,reported,3 hrs 51 mins,11 hrs 4 mins,9 hrs 36 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2020-21,2020,Subsequently admitted patients,7101.0,reported,3 hrs 42 mins,11 hrs 36 mins,10 hrs 3 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2021-22,2021,Subsequently admitted patients,6865.0,reported,4 hrs 53 mins,13 hrs 6 mins,13 hrs 2 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2022-23,2022,Subsequently admitted patients,9118.0,reported,4 hrs 32 mins,13 hrs 32 mins,17 hrs 4 mins
Auburn Hospital,Hospital,NSW,Medium metropolitan hospitals,2023-24,2023,Subsequently admitted patients,9552.0,reported,4 hrs 13 mins,12 hrs 35 mins,17 hrs 55 mins
