reporting_unit,reporting_unit_type,state,financial_year,year,triage_category,number_of_presentations,number_of_presentations_flag
Armidale Hospital,Hospital,NSW,2019-20,2019,Emergency,841.0,reported
Armidale Hospital,Hospital,NSW,2020-21,2020,Emergency,1156.0,reported
Armidale Hospital,Hospital,NSW,2021-22,2021,Emergency,1409.0,reported
Armidale Hospital,Hospital,NSW,2022-23,2022,Emergency,1423.0,reported
Armidale Hospital,Hospital,NSW,2023-24,2023,Emergency,1567.0,reported
Armidale Hospital,Hospital,NSW,2024-25,2024,Emergency,1405.0,reported
Armidale Hospital,Hospital,NSW,2011-12,2011,Non-Urgent,4761.0,reported
Armidale Hospital,Hospital,NSW,2012-13,2012,Non-Urgent,3017.0,reported
Armidale Hospital,Hospital,NSW,2013-14,2013,Non-Urgent,2237.0,reported
Armidale Hospital,Hospital,NSW,2014-15,2014,Non-Urgent,1780.0,reported
Armidale Hospital,Hospital,NSW,2015-16,2015,Non-Urgent,1736.0,reported
Armidale Hospital,Hospital,NSW,2016-17,2016,Non-Urgent,1612.0,reported
Armidale Hospital,Hospital,NSW,2017-18,2017,Non-Urgent,1546.0,reported
Armidale Hospital,Hospital,NSW,2018-19,2018,Non-Urgent,1965.0,reported
Armidale Hospital,Hospital,NSW,2019-20,2019,Non-Urgent,2072.0,reported
Armidale Hospital,Hospital,NSW,2020-21,2020,Non-Urgent,2393.0,reported
Armidale Hospital,Hospital,NSW,2021-22,2021,Non-Urgent,1738.0,reported
Armidale Hospital,Hospital,NSW,2022-23,2022,Non-Urgent,2495.0,reported
Armidale Hospital,Hospital,NSW,2023-24,2023,Non-Urgent,3100.0,reported
Armidale Hospital,Hospital,NSW,2024-25,2024,Non-Urgent,2943.0,reported
Armidale Hospital,Hospital,NSW,2011-12,2011,Resuscitation,25.0,reported
Armidale Hospital,Hospital,NSW,2012-13,2012,Resuscitation,48.0,reported
Armidale Hospital,Hospital,NSW,2013-14,2013,Resuscitation,30.0,reported
Armidale Hospital,Hospital,NSW,2014-15,2014,Resuscitation,37.0,reported
Armidale Hospital,Hospital,NSW,2015-16,2015,Resuscitation,37.0,reported
Armidale Hospital,Hospital,NSW,2016-17,2016,Resuscitation,42.0,reported
Armidale Hospital,Hospital,NSW,2017-18,2017,Resuscitation,30.0,reported
Armidale Hospital,Hospital,NSW,2018-19,2018,Resuscitation,42.0,reported
Armidale Hospital,Hospital,NSW,2019-20,2019,Resuscitation,40.0,reported
Armidale Hospital,Hospital,NSW,2020-21,2020,Resuscitation,43.0,reported
Armidale Hospital,Hospital,NSW,2021-22,2021,Resuscitation,40.0,reported
Armidale Hospital,Hospital,NSW,2022-23,2022,Resuscitation,37.0,reported
Armidale Hospital,Hospital,NSW,2023-24,2023,Resuscitation,58.0,reported
Armidale Hospital,Hospital,NSW,2024-25,2024,Resuscitation,52.0,reported
Armidale Hospital,Hospital,NSW,2011-12,2011,Semi-Urgent,7165.0,reported
Armidale Hospital,Hospital,NSW,2012-13,2012,Semi-Urgent,7684.0,reported
Armidale Hospital,Hospital,NSW,2013-14,2013,Semi-Urgent,8502.0,reported
Armidale Hospital,Hospital,NSW,2014-15,2014,Semi-Urgent,9611.0,reported
Armidale Hospital,Hospital,NSW,2015-16,2015,Semi-Urgent,9208.0,reported
Armidale Hospital,Hospital,NSW,2016-17,2016,Semi-Urgent,9151.0,reported
Armidale Hospital,Hospital,NSW,2017-18,2017,Semi-Urgent,9447.0,reported
Armidale Hospital,Hospital,NSW,2018-19,2018,Semi-Urgent,10057.0,reported
Armidale Hospital,Hospital,NSW,2019-20,2019,Semi-Urgent,9597.0,reported
Armidale Hospital,Hospital,NSW,2020-21,2020,Semi-Urgent,9991.0,reported
Armidale Hospital,Hospital,NSW,2021-22,2021,Semi-Urgent,10864.0,reported
Armidale Hospital,Hospital,NSW,2022-23,2022,Semi-Urgent,11663.0,reported
Armidale Hospital,Hospital,NSW,2023-24,2023,Semi-Urgent,12398.0,reported
Armidale Hospital,Hospital,NSW,2024-25,2024,Semi-Urgent,13392.0,reported
Armidale Hospital,Hospital,NSW,2011-12,2011,Urgent,2890.0,reported
Armidale Hospital,Hospital,NSW,2012-13,2012,Urgent,3666.0,reported
Armidale Hospital,Hospital,NSW,2013-14,2013,Urgent,3782.0,reported
Armidale Hospital,Hospital,NSW,2014-15,2014,Urgent,3982.0,reported
Armidale Hospital,Hospital,NSW,2015-16,2015,Urgent,4548.0,reported
Armidale Hospital,Hospital,NSW,2016-17,2016,Urgent,4461.0,reported
Armidale Hospital,Hospital,NSW,2017-18,2017,Urgent,3982.0,reported
Armidale Hospital,Hospital,NSW,2018-19,2018,Urgent,3713.0,reported
Armidale Hospital,Hospital,NSW,2019-20,2019,Urgent,3548.0,reported
Armidale Hospital,Hospital,NSW,2020-21,2020,Urgent,3740.0,reported
Armidale Hospital,Hospital,NSW,2021-22,2021,Urgent,3774.0,reported
Armidale Hospital,Hospital,NSW,2022-23,2022,Urgent,3622.0,reported
Armidale Hospital,Hospital,NSW,2023-24,2023,Urgent,3983.0,reported
Armidale Hospital,Hospital,NSW,2024-25,2024,Urgent,3552.0,reported
Auburn Hospital,Hospital,NSW,2011-12,2011,Emergency,1603.0,reported
Auburn Hospital,Hospital,NSW,2012-13,2012,Emergency,1857.0,reported
Auburn Hospital,Hospital,NSW,2013-14,2013,Emergency,2132.0,reported
Auburn Hospital,Hospital,NSW,2014-15,2014,Emergency,2981.0,reported
Auburn Hospital,Hospital,NSW,2015-16,2015,Emergency,3518.0,reported
Auburn Hospital,Hospital,NSW,2016-17,2016,Emergency,3999.0,reported
Auburn Hospital,Hospital,NSW,2017-18,2017,Emergency,4046.0,reported
Auburn Hospital,Hospital,NSW,2018-19,2018,Emergency,3879.0,reported
Auburn Hospital,Hospital,NSW,2019-20,2019,Emergency,4404.0,reported
Auburn Hospital,Hospital,NSW,2020-21,2020,Emergency,5008.0,reported
Auburn Hospital,Hospital,NSW,2021-22,2021,Emergency,5211.0,reported
Auburn Hospital,Hospital,NSW,2022-23,2022,Emergency,4838.0,reported
Auburn Hospital,Hospital,NSW,2023-24,2023,Emergency,4891.0,reported
Auburn Hospital,Hospital,NSW,2024-25,2024,Emergency,5365.0,reported
Auburn Hospital,Hospital,NSW,2011-12,2011,Non-Urgent,2296.0,reported
Auburn Hospital,Hospital,NSW,2012-13,2012,Non-Urgent,2283.0,reported
Auburn Hospital,Hospital,NSW,2013-14,2013,Non-Urgent,2454.0,reported
Auburn Hospital,Hospital,NSW,2014-15,2014,Non-Urgent,2393.0,reported
Auburn Hospital,Hospital,NSW,2015-16,2015,Non-Urgent,2396.0,reported
Auburn Hospital,Hospital,NSW,2016-17,2016,Non-Urgent,2385.0,reported
Auburn Hospital,Hospital,NSW,2017-18,2017,Non-Urgent,3084.0,reported
Auburn Hospital,Hospital,NSW,2018-19,2018,Non-Urgent,2380.0,reported
Auburn Hospital,Hospital,NSW,2019-20,2019,Non-Urgent,2305.0,reported
Auburn Hospital,Hospital,NSW,2020-21,2020,Non-Urgent,2152.0,reported
Auburn Hospital,Hospital,NSW,2021-22,2021,Non-Urgent,5426.0,reported
Auburn Hospital,Hospital,NSW,2022-23,2022,Non-Urgent,3479.0,reported
Auburn Hospital,Hospital,NSW,2023-24,2023,Non-Urgent,3896.0,reported
Auburn Hospital,Hospital,NSW,2024-25,2024,Non-Urgent,4086.0,reported
Auburn Hospital,Hospital,NSW,2011-12,2011,Resuscitation,64.0,reported
Auburn Hospital,Hospital,NSW,2012-13,2012,Resuscitation,73.0,reported
Auburn Hospital,Hospital,NSW,2013-14,2013,Resuscitation,71.0,reported
Auburn Hospital,Hospital,NSW,2014-15,2014,Resuscitation,83.0,reported
Auburn Hospital,Hospital,NSW,2015-16,2015,Resuscitation,116.0,reported
Auburn Hospital,Hospital,NSW,2016-17,2016,Resuscitation,116.0,reported
Auburn Hospital,Hospital,NSW,2017-18,2017,Resuscitation,112.0,reported
Auburn Hospital,Hospital,NSW,2018-19,2018,Resuscitation,105.0,reported
Auburn Hospital,Hospital,NSW,2019-20,2019,Resuscitation,193.0,reported
Auburn Hospital,Hospital,NSW,2020-21,2020,Resuscitation,174.0,reported
Auburn Hospital,Hospital,NSW,2021-22,2021,Resuscitation,122.0,reported
Auburn Hospital,Hospital,NSW,2022-23,2022,Resuscitation,103.0,reported
Auburn Hospital,Hospital,NSW,2023-24,2023,Resuscitation,115.0,reported
Auburn Hospital,Hospital,NSW,2024-25,2024,Resuscitation,113.0,reported
Auburn Hospital,Hospital,NSW,2011-12,2011,Semi-Urgent,12434.0,reported
Auburn Hospital,Hospital,NSW,2012-13,2012,Semi-Urgent,12227.0,reported
Auburn Hospital,Hospital,NSW,2013-14,2013,Semi-Urgent,12475.0,reported
Auburn Hospital,Hospital,NSW,2014-15,2014,Semi-Urgent,11683.0,reported
Auburn Hospital,Hospital,NSW,2015-16,2015,Semi-Urgent,10933.0,reported
Auburn Hospital,Hospital,NSW,2016-17,2016,Semi-Urgent,11189.0,reported
Auburn Hospital,Hospital,NSW,2017-18,2017,Semi-Urgent,11573.0,reported
Auburn Hospital,Hospital,NSW,2018-19,2018,Semi-Urgent,12212.0,reported
Auburn Hospital,Hospital,NSW,2019-20,2019,Semi-Urgent,10956.0,reported
Auburn Hospital,Hospital,NSW,2020-21,2020,Semi-Urgent,8323.0,reported
Auburn Hospital,Hospital,NSW,2021-22,2021,Semi-Urgent,8716.0,reported
Auburn Hospital,Hospital,NSW,2022-23,2022,Semi-Urgent,11644.0,reported
Auburn Hospital,Hospital,NSW,2023-24,2023,Semi-Urgent,12504.0,reported
Auburn Hospital,Hospital,NSW,2024-25,2024,Semi-Urgent,12708.0,reported
Auburn Hospital,Hospital,NSW,2011-12,2011,Urgent,8347.0,reported
Auburn Hospital,Hospital,NSW,2012-13,2012,Urgent,9016.0,reported
Auburn Hospital,Hospital,NSW,2013-14,2013,Urgent,8559.0,reported
Auburn Hospital,Hospital,NSW,2014-15,2014,Urgent,8666.0,reported
Auburn Hospital,Hospital,NSW,2015-16,2015,Urgent,9299.0,reported
Auburn Hospital,Hospital,NSW,2016-17,2016,Urgent,9092.0,reported
Auburn Hospital,Hospital,NSW,2017-18,2017,Urgent,9903.0,reported
Auburn Hospital,Hospital,NSW,2018-19,2018,Urgent,10395.0,reported
Auburn Hospital,Hospital,NSW,2019-20,2019,Urgent,10854.0,reported
Auburn Hospital,Hospital,NSW,2020-21,2020,Urgent,14175.0,reported
Auburn Hospital,Hospital,NSW,2021-22,2021,Urgent,12101.0,reported
Auburn Hospital,Hospital,NSW,2022-23,2022,Urgent,12265.0,reported
Auburn Hospital,Hospital,NSW,2023-24,2023,Urgent,12776.0,reported
Auburn Hospital,Hospital,NSW,2024-25,2024,Urgent,12309.0,reported
Ballina District Hospital,Hospital,NSW,2011-12,2011,Emergency,1102.0,reported
Ballina District Hospital,Hospital,NSW,2012-13,2012,Emergency,1160.0,reported
Ballina District Hospital,Hospital,NSW,2013-14,2013,Emergency,1188.0,reported
Ballina District Hospital,Hospital,NSW,2014-15,2014,Emergency,1204.0,reported
Ballina District Hospital,Hospital,NSW,2015-16,2015,Emergency,1210.0,reported
Ballina District Hospital,Hospital,NSW,2016-17,2016,Emergency,1388.0,reported
Ballina District Hospital,Hospital,NSW,2017-18,2017,Emergency,1325.0,reported
Ballina District Hospital,Hospital,NSW,2018-19,2018,Emergency,1357.0,reported
Ballina District Hospital,Hospital,NSW,2019-20,2019,Emergency,1522.0,reported
Ballina District Hospital,Hospital,NSW,2020-21,2020,Emergency,1578.0,reported
Ballina District Hospital,Hospital,NSW,2021-22,2021,Emergency,1575.0,reported
Ballina District Hospital,Hospital,NSW,2022-23,2022,Emergency,1784.0,reported
Ballina District Hospital,Hospital,NSW,2023-24,2023,Emergency,1775.0,reported
Ballina District Hospital,Hospital,NSW,2024-25,2024,Emergency,1683.0,reported
Ballina District Hospital,Hospital,NSW,2011-12,2011,Non-Urgent,3187.0,reported
Ballina District Hospital,Hospital,NSW,2012-13,2012,Non-Urgent,2219.0,reported
Ballina District Hospital,Hospital,NSW,2013-14,2013,Non-Urgent,2311.0,reported
Ballina District Hospital,Hospital,NSW,2014-15,2014,Non-Urgent,1863.0,reported
Ballina District Hospital,Hospital,NSW,2015-16,2015,Non-Urgent,1849.0,reported
Ballina District Hospital,Hospital,NSW,2016-17,2016,Non-Urgent,1782.0,reported
Ballina District Hospital,Hospital,NSW,2017-18,2017,Non-Urgent,1847.0,reported
Ballina District Hospital,Hospital,NSW,2018-19,2018,Non-Urgent,1985.0,reported
Ballina District Hospital,Hospital,NSW,2019-20,2019,Non-Urgent,1565.0,reported
Ballina District Hospital,Hospital,NSW,2020-21,2020,Non-Urgent,1974.0,reported
Ballina District Hospital,Hospital,NSW,2021-22,2021,Non-Urgent,1905.0,reported
Ballina District Hospital,Hospital,NSW,2022-23,2022,Non-Urgent,1309.0,reported
Ballina District Hospital,Hospital,NSW,2023-24,2023,Non-Urgent,1549.0,reported
Ballina District Hospital,Hospital,NSW,2024-25,2024,Non-Urgent,2033.0,reported
Ballina District Hospital,Hospital,NSW,2011-12,2011,Resuscitation,53.0,reported
Ballina District Hospital,Hospital,NSW,2012-13,2012,Resuscitation,49.0,reported
Ballina District Hospital,Hospital,NSW,2013-14,2013,Resuscitation,64.0,reported
Ballina District Hospital,Hospital,NSW,2014-15,2014,Resuscitation,53.0,reported
Ballina District Hospital,Hospital,NSW,2015-16,2015,Resuscitation,63.0,reported
Ballina District Hospital,Hospital,NSW,2016-17,2016,Resuscitation,55.0,reported
Ballina District Hospital,Hospital,NSW,2017-18,2017,Resuscitation,35.0,reported
Ballina District Hospital,Hospital,NSW,2018-19,2018,Resuscitation,42.0,reported
Ballina District Hospital,Hospital,NSW,2019-20,2019,Resuscitation,36.0,reported
Ballina District Hospital,Hospital,NSW,2020-21,2020,Resuscitation,25.0,reported
Ballina District Hospital,Hospital,NSW,2021-22,2021,Resuscitation,35.0,reported
Ballina District Hospital,Hospital,NSW,2022-23,2022,Resuscitation,26.0,reported
Ballina District Hospital,Hospital,NSW,2023-24,2023,Resuscitation,39.0,reported
Ballina District Hospital,Hospital,NSW,2024-25,2024,Resuscitation,42.0,reported
Ballina District Hospital,Hospital,NSW,2011-12,2011,Semi-Urgent,7002.0,reported
Ballina District Hospital,Hospital,NSW,2012-13,2012,Semi-Urgent,8170.0,reported
Ballina District Hospital,Hospital,NSW,2013-14,2013,Semi-Urgent,8545.0,reported
Ballina District Hospital,Hospital,NSW,2014-15,2014,Semi-Urgent,8776.0,reported
Ballina District Hospital,Hospital,NSW,2015-16,2015,Semi-Urgent,8462.0,reported
Ballina District Hospital,Hospital,NSW,2016-17,2016,Semi-Urgent,8046.0,reported
Ballina District Hospital,Hospital,NSW,2017-18,2017,Semi-Urgent,9245.0,reported
Ballina District Hospital,Hospital,NSW,2018-19,2018,Semi-Urgent,9503.0,reported
Ballina District Hospital,Hospital,NSW,2019-20,2019,Semi-Urgent,9204.0,reported
Ballina District Hospital,Hospital,NSW,2020-21,2020,Semi-Urgent,9768.0,reported
Ballina District Hospital,Hospital,NSW,2021-22,2021,Semi-Urgent,9167.0,reported
Ballina District Hospital,Hospital,NSW,2022-23,2022,Semi-Urgent,8809.0,reported
Ballina District Hospital,Hospital,NSW,2023-24,2023,Semi-Urgent,9444.0,reported
Ballina District Hospital,Hospital,NSW,2024-25,2024,Semi-Urgent,9248.0,reported
Ballina District Hospital,Hospital,NSW,2011-12,2011,Urgent,3674.0,reported
Ballina District Hospital,Hospital,NSW,2012-13,2012,Urgent,3836.0,reported
